day,session,worked_well,could_be_improved
Day 2,Data visualization,This was awesome! Really nice figures. I will be using R for figures for sure!,I would have liked some more introduction on how to best search for help online. Like a troubleshooting session on how to fix issues on your own.
Day 2,Data visualization,"The headlines over every step to make it easy ""to go bak""",NA
Day 2,Data visualization,It worked good with the different plots,We could have made one plot where we needed to change more things .
Day 2,Data visualization,Eeverything,NA
Day 2,Data visualization,I really liked the code-along session. Hands-on exercises were so beneficial.,I would like to learn how to add SE/SEM bars etc. but this is a minor suggestion. I think the session was incredibly informative and beneficial
Day 2,Data visualization,It worked well to draw the different types of plots,even thought it is much the same
Day 2,Data visualization,The examples are interesting and helpful.,"If there are more practice, it will be helpful."
Day 2,Data visualization,"I loved the figures, were so colorful.",Please slow down as I could not understand the logic behind the coding process.
Day 2,Data visualization,The different kinds of plots and their uses were explained well.,More live exercises might be helpful.
Day 2,Data visualization,code-along,Maybe too much coding in a row without exercise
Day 2,Data visualization,to create all the graphs along the session,"I would have liked to know a bit more about the different functions, what exactly they do, sometimes their names sound a bit strange"
Day 2,Data visualization,"It was very nice to see what options are out there and how to plot and visualize different data types, since I haven't worked with R before and had no idea what options are out there.","For me specifically, it would also great to have a session on data modelling and curve fitting (i.e. dose-response), but I don't know for how many people that would actually be relevant, so I understand if that is too specific."
Day 2,Data visualization,very good,More coding
Day 2,Version control and collaborative practices,"I loved to see that there is a track of everything done, and I would like to implement that when I use R. It was really nice to see how you work locally and remotely.",I think the session was so clear.
Day 2,Version control and collaborative practices,all good,all good
Day 2,Version control and collaborative practices,All worked well,NA
Day 2,Version control and collaborative practices,reading through the sections step by step,Maybe it could have been integrated into the group work a bit more smoothly
Day 2,Version control and collaborative practices,Code-along works really well. Good help from helpers.,Maybe a few more minor breaks
Day 2,Version control and collaborative practices,It worked well the helpers and the explanations,It is a lot to process and it would be a good idea to prepare extra task to do after the course
Day 2,Version control and collaborative practices,Good overview trough slides,Some groupwork / discussion in plenum
Day 2,Version control and collaborative practices,"The message why git and GitHub are a really great idea to use came through, but it was very tricky to follow, since its a very different way to think. I also think the code along sessions about git/github went a little too fast - at least for me:-)",slower pace with the explanations and code-alongs:-)
Day 2,Version control and collaborative practices,"It was useful to stop and practice linking a new project to a repository, then pushing/pulling.","I don't think we needed as much time as we did spent on ""what collaboration is"" (as lots of us are already in collaborations). I'd rather have spent more time getting clear on what push/pull means in practice, and I feel that we rushed through things like branching/merging. I'm not sure how all of the different processes relate to each other."
Day 2,Version control and collaborative practices,Very good lecture and good hands on.,"tell what you would normally do - in what order would you do it. create project, github rep. etc."
Day 2,Version control and collaborative practices,Nice to have a formal intro to git and github - i was convinced of the benefits!,"Perhaps more hands on practice with it, but i guess time is the big limitation.."
Day 2,Version control and collaborative practices,That we tried over and over again,Slowing the tempo down a bit
Day 2,Version control and collaborative practices,It worked really well,We could maybe have been a bit more time
Day 2,Version control and collaborative practices,Everything,More explanation
Day 2,Version control and collaborative practices,I had a look before to Git and GitHub before but could not figure out. Practicing with exercises helped a lot to understand the concept and also learn how to use.,I would like to learn how to track version changes within the documents (.doc files etc) besides R scripts.
Day 2,Version control and collaborative practices,nice introduction to the subject,"maybe it would be easier to understand what the purpose of git and github is, if a real life example was included."
Day 2,Version control and collaborative practices,The examples are helpful.,"It went a little fast, and there are two projects (Learning R and Practice Repo), somehow I have problems to shift between the project files and open the right files. So it might be easier to focus on one project."
Day 2,Version control and collaborative practices,It was good,"Add more illustrations, videos, cartoons, ...... so we can follow the instructions."
Day 2,Version control and collaborative practices,The concept was explained very nicely.,Nothing I can think of now.
Day 2,Version control and collaborative practices,hands-on,"maybe a video showing the concept, how to do stuff"
Day 2,Version control and collaborative practices,"clear and simple read in the course website about what are the advantages in using a program like Git for collaborative work, but also how useful it is for individual work. to follow along the instructions helps remembering what to do another time","maybe a bit more practice with collaborative projects, to understand how to interact with other users of the same repositorium"
Day 2,Version control and collaborative practices,"It was great to know that there are dedicated programs for version control out there, since I haven't used Git before.",having the session in an outdoor whirlpool ;) it would also be great to know how to use version control for other data types (e.g. word documents)
Day 2,Version control and collaborative practices,very well,more coding along_ handson
Day 3,Creating reproducible documents,"I liked the session in general. Is a lot of knowledge to digest but the way that it was kept simple, helped to go through it.","I think time was very well use but I would add maybe 30 min more for group work, in the end where the knowledge seems more applicable, specially after R Markdown"
Day 3,Creating reproducible documents,Great lecture. Nice to learn about how to use R-markdown.,NA
Day 3,Creating reproducible documents,I really liked the idea of R Markdown (like a lot of others).,"I would have preferred less time on things like bold/italics etc. (as I could read these in a separate resource file) and would have preferred to spend more time on how to setup the file (i.e., how much to link in source code/datasets/script/package loading)."
Day 3,Creating reproducible documents,good,good
Day 3,Creating reproducible documents,Great to play with the figures and clean data,More time to work with the group assessments
Day 3,Creating reproducible documents,I liked to discover there is the Markdown file that helps having the process and outcomes organized.,Maybe this could have been done at the beginning so we could start the project in that set up.
Day 3,Creating reproducible documents,All the steps and materials to follow where written clearly,Pre-Course reading materials
Day 3,Creating reproducible documents,almost everything,"may be, you could get input from participants on how to walk the talk."
Day 3,Creating reproducible documents,It worked well on project based level.,"If time allows, we could work on a short manuscript, to demonstrate how it works and show its advantage compared to the traditional way."
Day 3,Creating reproducible documents,It was well organized and well explained.,More time on exercise section might be helpful.
Day 3,Creating reproducible documents,lecture was pretty nice,More time for figure stuff out  could be very benefical
Day 3,Creating reproducible documents,"It was easy to understand why the R.markdown is a smart feature. It was also in this session that it really made sense to me why the GitHub is cool. The exercise part was really important to learn how to do this on our own, and it made more sense to me in practice, compared to when we went through it in the lecture.",a little more time for the exercise would be good
Day 3,Creating reproducible documents,"The creation of the Markdown file, which gives the full view in one file/document",If  we had been prepared for the challenges with our project in the Markdown folder
Day 3,Creating reproducible documents,"The exercises on our own and in the group, The help from the teachers.",Nothing to declare
Day 3,Creating reproducible documents,"Nice to learn Rmarkdown, code-along and group work with different tasks and combining them results in a joint manuscript","Create the joint manuscript earlier, and lean GIt a little earlier, so that we could push our fidings every time we learned something new, instead of creating the manuscript at the end.I would have liked to learn more about how to download, load, read the dataset we find (in different formats, so we are prepared for future datasets)"
Day 3,Creating reproducible documents,"It worked well with the code along. The time for it was sufficient. Nice to have specific code for headings, bold text etc.",We could have used a bit more time for the group work
Day 3,Creating reproducible documents,Very nice section - easy,Could have come in earlier - think it will save some work if we could start the report earlier.
Day 3,Creating reproducible documents,"It was very nice to learn how to collaborate over Git by hands-on sessions, struggling was the best way to get it better. And at the end, having a final document with structure was so motivating and encouraging.",I would like to have more time to play a bit more with the data and final report  but it is not so important.
Day 3,Creating reproducible documents,"The initial lecture, short but setting the case why reproducible research is necessary. good examples of innovative research documents. Learning by doing the R markdown files, all the exercise parts.","it ended up being a bit too fast and therefore we did not learn all the possible adds to the R markdown. It could also have been fun to see examples of how other people are using the R markdown, besides the course website."
