id,survey_item,response
40fde5b15c,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
b710c186b7,I think I learned a lot from this course,Strongly agree
b710c186b7,I think there was a good mix of learning activities that encouraged my active participation,Agree
b710c186b7,I think the content on the website clearly communicated the concepts,Strongly agree
b710c186b7,I think the instructors clearly communicated the concepts,Strongly agree
b710c186b7,I think there was good alignment between the learning activities,Agree
b710c186b7,"In general, I think this is a good course",Agree
b710c186b7,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
742119c9c3,I think I learned a lot from this course,Strongly agree
742119c9c3,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
742119c9c3,I think the content on the website clearly communicated the concepts,Strongly agree
742119c9c3,I think the instructors clearly communicated the concepts,Strongly agree
742119c9c3,I think there was good alignment between the learning activities,Strongly agree
742119c9c3,"In general, I think this is a good course",Strongly agree
742119c9c3,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
b9c75bc38d,I think I learned a lot from this course,Strongly agree
b9c75bc38d,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
b9c75bc38d,I think the content on the website clearly communicated the concepts,Strongly agree
b9c75bc38d,I think the instructors clearly communicated the concepts,Strongly agree
b9c75bc38d,I think there was good alignment between the learning activities,Strongly agree
b9c75bc38d,"In general, I think this is a good course",Strongly agree
b9c75bc38d,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
